zone_id,hour,time_sin,time_cos,is_weekend,zone_x,zone_y,base_demand,zone_scale,prev_observed_demand,expected_lambda,observed_demand,target_demand
0,0.0,0.0,1.0,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,0.0,1.3166817426681519,2.9824488162994385,3.0
1,0.0,0.0,1.0,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,0.0,1.2459548711776733,1.4171819686889648,1.0
2,0.0,0.0,1.0,0.0,2.4013302326202393,6.988427639007568,7.15219259262085,-0.027925487607717514,0.0,2.4413092136383057,0.0,0.0
3,0.0,0.0,1.0,0.0,0.042122434824705124,6.569827556610107,4.203640460968018,0.02761603519320488,0.0,1.5168423652648926,2.725430488586426,3.0
4,0.0,0.0,1.0,0.0,6.376555442810059,3.7434797286987305,5.217217922210693,0.015945443883538246,0.0,1.861201524734497,0.0,1.0
5,0.0,0.0,1.0,0.0,2.4242594242095947,2.227404832839966,3.0224053859710693,-0.3062639534473419,0.0,0.7362596988677979,0.0,0.0
0,1.0,0.25881904510252074,0.9659258262890683,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,2.9824488162994385,1.33258056640625,0.0,0.0
1,1.0,0.25881904510252074,0.9659258262890683,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,1.4171819686889648,1.2609996795654297,0.0,0.0
2,1.0,0.25881904510252074,0.9659258262890683,0.0,2.4013302326202393,6.988427639007568,7.15219259262085,-0.027925487607717514,0.0,2.470787763595581,0.5146976709365845,1.0
3,1.0,0.25881904510252074,0.9659258262890683,0.0,0.042122434824705124,6.569827556610107,4.203640460968018,0.02761603519320488,2.725430488586426,1.5351581573486328,0.6365391612052917,0.0
4,1.0,0.25881904510252074,0.9659258262890683,0.0,6.376555442810059,3.7434797286987305,5.217217922210693,0.015945443883538246,0.0,1.883675456047058,2.51547908782959,3.0
5,1.0,0.25881904510252074,0.9659258262890683,0.0,2.4242594242095947,2.227404832839966,3.0224053859710693,-0.3062639534473419,0.0,0.7451499700546265,0.9804869890213013,1.0
0,2.0,0.49999999999999994,0.8660254037844387,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,0.0,1.3897119760513306,1.3460137844085693,1.0
1,2.0,0.49999999999999994,0.8660254037844387,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,0.0,1.3150622844696045,0.0,0.0
2,2.0,0.49999999999999994,0.8660254037844387,0.0,2.4013302326202393,6.988427639007568,7.15219259262085,-0.027925487607717514,0.5146976709365845,2.5767173767089844,5.409746170043945,5.0
3,2.0,0.49999999999999994,0.8660254037844387,0.0,0.042122434824705124,6.569827556610107,4.203640460968018,0.02761603519320488,0.6365391612052917,1.600974678993225,2.960089683532715,3.0
4,2.0,0.49999999999999994,0.8660254037844387,0.0,6.376555442810059,3.7434797286987305,5.217217922210693,0.015945443883538246,2.51547908782959,1.9644337892532349,1.4003485441207886,1.0
5,2.0,0.49999999999999994,0.8660254037844387,0.0,2.4242594242095947,2.227404832839966,3.0224053859710693,-0.3062639534473419,0.9804869890213013,0.7770966291427612,0.8631135821342468,0.0
0,3.0,0.7071067811865475,0.7071067811865476,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,1.3460137844085693,1.5532684326171875,2.8498828411102295,3.0
1,3.0,0.7071067811865475,0.7071067811865476,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,0.0,1.4698330163955688,1.914117693901062,1.0
2,3.0,0.7071067811865475,0.7071067811865476,0.0,2.4013302326202393,6.988427639007568,7.15219259262085,-0.027925487607717514,5.409746170043945,2.8799734115600586,0.7431850433349609,1.0
3,3.0,0.7071067811865475,0.7071067811865476,0.0,0.042122434824705124,6.569827556610107,4.203640460968018,0.02761603519320488,2.960089683532715,1.789394736289978,1.8177918195724487,2.0
4,3.0,0.7071067811865475,0.7071067811865476,0.0,6.376555442810059,3.7434797286987305,5.217217922210693,0.015945443883538246,1.4003485441207886,2.195629596710205,3.2115533351898193,3.0
5,3.0,0.7071067811865475,0.7071067811865476,0.0,2.4242594242095947,2.227404832839966,3.0224053859710693,-0.3062639534473419,0.8631135821342468,0.8685538172721863,2.927537679672241,3.0
0,4.0,0.8660254037844386,0.5000000000000001,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,2.8498828411102295,1.9227381944656372,0.7788026332855225,2.0
1,4.0,0.8660254037844386,0.5000000000000001,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,1.914117693901062,1.8194564580917358,0.8173138499259949,1.0
2,4.0,0.8660254037844386,0.5000000000000001,0.0,2.4013302326202393,6.988427639007568,7.15219259262085,-0.027925487607717514,0.7431850433349609,3.565021276473999,1.4600434303283691,2.0
3,4.0,0.8660254037844386,0.5000000000000001,0.0,0.042122434824705124,6.569827556610107,4.203640460968018,0.02761603519320488,1.8177918195724487,2.2150309085845947,3.0984315872192383,3.0
4,4.0,0.8660254037844386,0.5000000000000001,0.0,6.376555442810059,3.7434797286987305,5.217217922210693,0.015945443883538246,3.2115533351898193,2.717895269393921,2.3468539714813232,1.0
5,4.0,0.8660254037844386,0.5000000000000001,0.0,2.4242594242095947,2.227404832839966,3.0224053859710693,-0.3062639534473419,2.927537679672241,1.0751532316207886,0.0,0.0
0,5.0,0.9659258262890683,0.25881904510252074,0.0,5.000763893127441,7.17771053314209,3.0707640647888184,0.22109746932983398,0.7788026332855225,2.5702476501464844,3.4673945903778076,3.0
1,5.0,0.9659258262890683,0.25881904510252074,0.0,6.2054853439331055,1.8016575574874878,4.154412746429443,-0.14590011537075043,0.8173138499259949,2.4321844577789307,4.07857084274292,4.0
